Date,close,source
1981-05-31,480.0,datahub_monthly
1981-06-30,461.0,datahub_monthly
1981-07-31,409.0,datahub_monthly
1981-08-31,410.0,datahub_monthly
1981-09-30,444.0,datahub_monthly
1981-10-31,438.0,datahub_monthly
1981-11-30,413.0,datahub_monthly
1981-12-31,410.0,datahub_monthly
1982-01-31,384.0,datahub_monthly
1982-02-28,374.0,datahub_monthly
1982-03-31,330.0,datahub_monthly
1982-04-30,350.0,datahub_monthly
1982-05-31,334.0,datahub_monthly
1982-06-30,315.0,datahub_monthly
1982-07-31,339.0,datahub_monthly
1982-08-31,364.0,datahub_monthly
1982-09-30,437.0,datahub_monthly
1982-10-31,422.0,datahub_monthly
1982-11-30,415.0,datahub_monthly
1982-12-31,445.0,datahub_monthly
1983-01-31,481.0,datahub_monthly
1983-02-28,491.0,datahub_monthly
1983-03-31,420.0,datahub_monthly
1983-04-30,433.0,datahub_monthly
1983-05-31,438.0,datahub_monthly
1983-06-30,413.0,datahub_monthly
1983-07-31,403.0,datahub_monthly
1983-08-31,416.0,datahub_monthly
1983-09-30,412.0,datahub_monthly
1983-10-31,394.0,datahub_monthly
1983-11-30,382.0,datahub_monthly
1983-12-31,388.0,datahub_monthly
1984-01-31,371.0,datahub_monthly
1984-02-29,386.0,datahub_monthly
1984-03-31,394.0,datahub_monthly
1984-04-30,381.0,datahub_monthly
1984-05-31,377.0,datahub_monthly
1984-06-30,378.0,datahub_monthly
1984-07-31,348.0,datahub_monthly
1984-08-31,348.0,datahub_monthly
1984-09-30,340.0,datahub_monthly
1984-10-31,341.0,datahub_monthly
1984-11-30,342.0,datahub_monthly
1984-12-31,320.0,datahub_monthly
1985-01-31,303.0,datahub_monthly
1985-02-28,299.0,datahub_monthly
1985-03-31,314.0,datahub_monthly
1985-04-30,327.0,datahub_monthly
1985-05-31,316.0,datahub_monthly
1985-06-30,317.0,datahub_monthly
1985-07-31,317.0,datahub_monthly
1985-08-31,330.0,datahub_monthly
1985-09-30,323.0,datahub_monthly
1985-10-31,326.0,datahub_monthly
1985-11-30,322.0,datahub_monthly
1985-12-31,322.0,datahub_monthly
1986-01-31,347.0,datahub_monthly
1986-02-28,339.0,datahub_monthly
1986-03-31,346.0,datahub_monthly
1986-04-30,340.0,datahub_monthly
1986-05-31,342.0,datahub_monthly
1986-06-30,343.0,datahub_monthly
1986-07-31,348.0,datahub_monthly
1986-08-31,377.0,datahub_monthly
1986-09-30,418.0,datahub_monthly
1986-10-31,424.0,datahub_monthly
1986-11-30,398.0,datahub_monthly
1986-12-31,391.0,datahub_monthly
1987-01-31,408.0,datahub_monthly
1987-02-28,401.0,datahub_monthly
1987-03-31,409.0,datahub_monthly
1987-04-30,438.0,datahub_monthly
1987-05-31,460.0,datahub_monthly
1987-06-30,450.0,datahub_monthly
1987-07-31,451.0,datahub_monthly
1987-08-31,461.0,datahub_monthly
1987-09-30,460.0,datahub_monthly
1987-10-31,465.0,datahub_monthly
1987-11-30,468.0,datahub_monthly
1987-12-31,486.0,datahub_monthly
1988-01-31,477.0,datahub_monthly
1988-02-29,442.0,datahub_monthly
1988-03-31,444.0,datahub_monthly
1988-04-30,452.0,datahub_monthly
1988-05-31,451.0,datahub_monthly
1988-06-30,451.0,datahub_monthly
1988-07-31,438.0,datahub_monthly
1988-08-31,431.0,datahub_monthly
1988-09-30,413.0,datahub_monthly
1988-10-31,407.0,datahub_monthly
1988-11-30,420.0,datahub_monthly
1988-12-31,419.0,datahub_monthly
1989-01-31,404.0,datahub_monthly
